Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Karl Malone*28UTA,28,11.2,3,1.3,0.6,0.526,0.176,0.778,957.58
Karl Malone*35UTA,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,957.44
Allen Iverson*26PHI,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,957.03
Karl Malone*31UTA,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,956.31
Gilbert Arenas25WAS,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,955.2
Adrian Dantley*24UTA,28,7.6,2.8,1.4,0.2,0.576,0,0.842,954.99
Karl Malone*25UTA,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,954.04
Magic Johnson*21LAL,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,953.47
Vince Carter28NJN,27.5,5.9,4.7,1.5,0.6,0.462,0.425,0.817,953.05
Kevin McHale*29BOS,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,952.8
Kevin Durant33BRK,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,952.32
Shawn Marion27PHO,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,951.08
Shaquille O'Neal*23ORL,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,950.4
Dwyane Wade*29MIA,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,949.76
Kevin Garnett*30MIN,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,949.54
Russell Westbrook27OKC,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,949.44
David Robinson*27SAS,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,948.64
Kareem Abdul-Jabbar*33LAL,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,948.6
Kobe Bryant*26LAL,27.6,5.9,6,1.3,0.8,0.433,0.339,0.816,948.31
Anthony Davis29LAL,25.9,12.5,2.6,1.1,2,0.563,0.257,0.784,945.2
Bernard King*28NYK,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,945
Carmelo Anthony29NYK,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,944.28
Kevin Garnett*24MIN,22,11.4,5,1.4,1.8,0.477,0.288,0.764,944.05
Kevin Garnett*23MIN,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,944
Kevin Durant34BRK,29.7,6.7,5.3,0.8,1.5,0.559,0.376,0.934,943.2
Anthony Davis26LAL,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,942.56
Joel Embiid26PHI,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,942.33
Kobe Bryant*29LAL,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,941.38
Moses Malone*27PHI,24.5,15.3,1.3,1.1,2,0.501,0,0.761,941.25
Charles Barkley*28PHI,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,940.8
Alonzo Mourning*28MIA,20.1,11,1.6,0.7,3.9,0.511,0,0.652,937.26
Chris Webber*28SAC,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,936.96
David Robinson*32SAS,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,936.86
Amar'e Stoudemire25PHO,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,935.64
LeBron James30CLE,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,934.99
Tracy McGrady*25HOU,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,934.32
Kevin Garnett*25MIN,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,932.96
Kevin Durant26OKC,25.4,6.6,4.1,0.9,0.9,0.51,0.403,0.854,932.88
Anthony Davis20NOP,20.8,10,1.6,1.3,2.8,0.519,0.222,0.791,932.8
Magic Johnson*31LAL,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,931.21
Giannis Antetokounmpo28MIL,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,930.9
Hakeem Olajuwon*26HOU,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,929.88
